Order,Creation Date,Total Value,Client Hash
1475161371873-01,2024-11-09 01:03:49+00:00,432.0,a9cec67c9f285e45c76d8b36e141d2ab40fce14c2426b6c29c10d94ca821fc72
1475161371873-01,2024-11-09 01:03:49+00:00,432.0,a9cec67c9f285e45c76d8b36e141d2ab40fce14c2426b6c29c10d94ca821fc72
1475511371989-01,2024-11-10 12:10:35+00:00,141.62,237c89b439d01736f9c088e8d40c62d8018ec369540d5641f83701f443423c2d
1475161371871-01,2024-11-09 00:46:23+00:00,189.22,e2e7b6292d88bb4bb4fdf53b93e4cd6c6b78ec9f7a362fc865b05582aa6957a2
1475511371987-01,2024-11-10 11:54:37+00:00,218.55,4a2fa71caf424b721477df5cbd4e3efdfb0207bd46fa33c41a91c2e3e07fad79
1475511371987-01,2024-11-10 11:54:37+00:00,218.55,4a2fa71caf424b721477df5cbd4e3efdfb0207bd46fa33c41a91c2e3e07fad79
1475501371985-01,2024-11-10 11:23:50+00:00,518.4,1f9cc0966db3904a43a34edf92792db0b94c235e71b8bbf6e63f8dd530e0eea9
1475501371985-01,2024-11-10 11:23:50+00:00,518.4,1f9cc0966db3904a43a34edf92792db0b94c235e71b8bbf6e63f8dd530e0eea9
1475501371985-01,2024-11-10 11:23:50+00:00,518.4,1f9cc0966db3904a43a34edf92792db0b94c235e71b8bbf6e63f8dd530e0eea9
1475501371985-01,2024-11-10 11:23:50+00:00,518.4,1f9cc0966db3904a43a34edf92792db0b94c235e71b8bbf6e63f8dd530e0eea9
1475501371983-01,2024-11-10 11:08:44+00:00,143.08,4541d465a33cfbb4c0240e7ecb405627e870c1adb85a173b940361c1980d82ad
1475501371981-01,2024-11-10 10:52:56+00:00,86.3,ced85850fb5956c6d969bdaaa0ccb9e05fb437ebdb6712ced8e21e610a87477f
